origin,destination,distance,duration,duration_in_traffic,timestamp
"Durham, North Carolina","New York, New York",785 km,7 hours 30 mins,7 hours 18 mins,2024-11-23 00:00:00
"Durham, North Carolina","Baltimore, Maryland",485 km,4 hours 42 mins,4 hours 35 mins,2024-11-23 00:00:00
"Durham, North Carolina","Louisville, Kentucky",869 km,8 hours 13 mins,8 hours 13 mins,2024-11-23 00:00:00
"Durham, North Carolina","Memphis, Tennessee","1,188 km",10 hours 50 mins,10 hours 47 mins,2024-11-23 00:00:00
"Durham, North Carolina","Las Vegas, Nevada","3,732 km",1 day 9 hours,1 day 9 hours,2024-11-23 00:00:00
"Durham, North Carolina","Portland, Oregon","4,575 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00
"Durham, North Carolina","Oklahoma City, Oklahoma","1,937 km",17 hours 25 mins,17 hours 12 mins,2024-11-23 00:00:00
"Durham, North Carolina","Detroit, Michigan","1,059 km",10 hours 17 mins,10 hours 11 mins,2024-11-23 00:00:00
"Durham, North Carolina","Nashville, Tennessee",849 km,7 hours 48 mins,7 hours 48 mins,2024-11-23 00:00:00
"Durham, North Carolina","El Paso, Texas","2,898 km",1 day 2 hours,1 day 2 hours,2024-11-23 00:00:00
"Durham, North Carolina","Boston, Massachusetts","1,128 km",10 hours 53 mins,10 hours 32 mins,2024-11-23 00:00:00
"Durham, North Carolina","Denver, Colorado","2,649 km",1 day 0 hours,23 hours 42 mins,2024-11-23 00:00:00
"Durham, North Carolina","Seattle, Washington","4,588 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00
"Durham, North Carolina","Indianapolis, Indiana",971 km,9 hours 19 mins,9 hours 17 mins,2024-11-23 00:00:00
"Durham, North Carolina","San Francisco, California","4,551 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00
"Durham, North Carolina","Washington, D.C.",415 km,4 hours 1 min,3 hours 57 mins,2024-11-23 00:00:00
"Durham, North Carolina","Columbus, Ohio",731 km,7 hours 8 mins,7 hours 10 mins,2024-11-23 00:00:00
"Durham, North Carolina","Los Angeles, California","4,072 km",1 day 12 hours,1 day 12 hours,2024-11-23 00:00:00
"Durham, North Carolina","Chicago, Illinois","1,261 km",12 hours 2 mins,11 hours 59 mins,2024-11-23 00:00:00
"Durham, North Carolina","Charlotte, North Carolina",234 km,2 hours 13 mins,2 hours 13 mins,2024-11-23 00:00:00
"Durham, North Carolina","Phoenix, Arizona","3,479 km",1 day 7 hours,1 day 7 hours,2024-11-23 00:00:00
"Durham, North Carolina","Philadelphia, Pennsylvania",647 km,6 hours 10 mins,6 hours 2 mins,2024-11-23 00:00:00
