origin,destination,distance,duration,duration_in_traffic,timestamp,distance_km,duration_minutes,duration_in_traffic_minutes,traffic_difference,average_speed_kph,traffic_delay_factor,traffic_adjusted
"Durham, North Carolina","New York, New York",785 km,7 hour 30 min,7 hour 18 min,2024-11-23 00:00:00,785.0,450,438.0,-2.666666666666667,107.53424657534246,-0.015286624203821656,Faster
"Durham, North Carolina","Baltimore, Maryland",485 km,4 hour 42 min,4 hour 35 min,2024-11-23 00:00:00,485.0,282,275.0,-2.4822695035460995,105.81818181818183,-0.01443298969072165,Faster
"Durham, North Carolina","Louisville, Kentucky",869 km,8 hour 13 min,8 hour 13 min,2024-11-23 00:00:00,869.0,493,493.0,0.0,105.7606490872211,0.0,Same
"Durham, North Carolina","Memphis, Tennessee","1,188 km",10 hour 50 min,10 hour 47 min,2024-11-23 00:00:00,1188.0,650,647.0,-0.46153846153846156,110.17001545595055,-0.0025252525252525255,Faster
"Durham, North Carolina","Las Vegas, Nevada","3,732 km",1 day 9 hours,1 day 9 hours,2024-11-23 00:00:00,3732.0,1980,1980.0,0.0,113.0909090909091,0.0,Same
"Durham, North Carolina","Portland, Oregon","4,575 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00,4575.0,2460,2460.0,0.0,111.58536585365853,0.0,Same
"Durham, North Carolina","Oklahoma City, Oklahoma","1,937 km",17 hour 25 min,17 hour 12 min,2024-11-23 00:00:00,1937.0,1045,1032.0,-1.244019138755981,112.61627906976744,-0.006711409395973154,Faster
"Durham, North Carolina","Detroit, Michigan","1,059 km",10 hour 17 min,10 hour 11 min,2024-11-23 00:00:00,1059.0,617,611.0,-0.9724473257698543,103.99345335515548,-0.0056657223796034,Faster
"Durham, North Carolina","Nashville, Tennessee",849 km,7 hour 48 min,7 hour 48 min,2024-11-23 00:00:00,849.0,468,468.0,0.0,108.84615384615385,0.0,Same
"Durham, North Carolina","El Paso, Texas","2,898 km",1 day 2 hours,1 day 2 hours,2024-11-23 00:00:00,2898.0,1560,1560.0,0.0,111.46153846153847,0.0,Same
"Durham, North Carolina","Boston, Massachusetts","1,128 km",10 hour 53 min,10 hour 32 min,2024-11-23 00:00:00,1128.0,653,632.0,-3.215926493108729,107.0886075949367,-0.018617021276595744,Faster
"Durham, North Carolina","Denver, Colorado","2,649 km",1 day 0 hours,23 hour 42 min,2024-11-23 00:00:00,2649.0,1440,1422.0,-1.25,111.77215189873418,-0.006795016987542469,Faster
"Durham, North Carolina","Seattle, Washington","4,588 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00,4588.0,2460,2460.0,0.0,111.90243902439025,0.0,Same
"Durham, North Carolina","Indianapolis, Indiana",971 km,9 hour 19 min,9 hour 17 min,2024-11-23 00:00:00,971.0,559,557.0,-0.35778175313059035,104.59605026929982,-0.0020597322348094747,Faster
"Durham, North Carolina","San Francisco, California","4,551 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:00:00,4551.0,2460,2460.0,0.0,111.0,0.0,Same
"Durham, North Carolina","Washington, D.C.",415 km,4 hour 1 min,3 hour 57 min,2024-11-23 00:00:00,415.0,241,237.0,-1.6597510373443984,105.0632911392405,-0.00963855421686747,Faster
"Durham, North Carolina","Columbus, Ohio",731 km,7 hour 8 min,7 hour 10 min,2024-11-23 00:00:00,731.0,428,430.0,0.46728971962616817,102.0,0.0027359781121751026,Slower
"Durham, North Carolina","Los Angeles, California","4,072 km",1 day 12 hours,1 day 12 hours,2024-11-23 00:00:00,4072.0,2160,2160.0,0.0,113.11111111111111,0.0,Same
"Durham, North Carolina","Chicago, Illinois","1,261 km",12 hour 2 min,11 hour 59 min,2024-11-23 00:00:00,1261.0,722,719.0,-0.41551246537396125,105.22948539638388,-0.0023790642347343376,Faster
"Durham, North Carolina","Charlotte, North Carolina",234 km,2 hour 13 min,2 hour 13 min,2024-11-23 00:00:00,234.0,133,133.0,0.0,105.56390977443608,0.0,Same
"Durham, North Carolina","Phoenix, Arizona","3,479 km",1 day 7 hours,1 day 7 hours,2024-11-23 00:00:00,3479.0,1860,1860.0,0.0,112.2258064516129,0.0,Same
"Durham, North Carolina","Philadelphia, Pennsylvania",647 km,6 hour 10 min,6 hour 2 min,2024-11-23 00:00:00,647.0,370,362.0,-2.1621621621621623,107.23756906077348,-0.012364760432766615,Faster
"Durham, North Carolina","San Antonio, Texas","2,209 km",20 hour 0 min,19 hour 43 min,2024-11-23 00:00:00,2209.0,1200,1183.0,-1.4166666666666665,112.03719357565512,-0.007695789950203712,Faster
"Durham, North Carolina","Houston, Texas","1,894 km",17 hour 6 min,16 hour 54 min,2024-11-23 00:00:00,1894.0,1026,1014.0,-1.1695906432748537,112.07100591715977,-0.006335797254487857,Faster
"Durham, North Carolina","Dallas, Texas","1,879 km",17 hour 1 min,16 hour 47 min,2024-11-23 00:00:00,1879.0,1021,1007.0,-1.3712047012732616,111.95630585898708,-0.007450771687067589,Faster
"Durham, North Carolina","San Jose, California","4,483 km",1 day 16 hours,1 day 16 hours,2024-11-23 00:00:00,4483.0,2400,2400.0,0.0,112.075,0.0,Same
"Durham, North Carolina","Austin, Texas","2,115 km",19 hour 31 min,19 hour 19 min,2024-11-23 00:00:00,2115.0,1171,1159.0,-1.0247651579846286,109.4909404659189,-0.005673758865248227,Faster
"Durham, North Carolina","Jacksonville, Florida",771 km,6 hour 51 min,6 hour 49 min,2024-11-23 00:00:00,771.0,411,409.0,-0.48661800486618007,113.10513447432763,-0.0025940337224383916,Faster
"Durham, North Carolina","Fort Worth, Texas","1,931 km",17 hour 29 min,17 hour 20 min,2024-11-23 00:00:00,1931.0,1049,1040.0,-0.8579599618684461,111.40384615384616,-0.004660797514241326,Faster
"Durham, North Carolina","San Diego, California","4,062 km",1 day 12 hours,,2024-11-23 00:00:00,4062.0,2160,,,,,Faster
"Durham, North Carolina","Omaha, Nebraska","1,953 km",18 hour 7 min,17 hour 52 min,2024-11-23 00:01:00,1953.0,1087,1072.0,-1.3799448022079117,109.30970149253731,-0.007680491551459293,Faster
"Durham, North Carolina","New Orleans, Louisiana","1,373 km",12 hour 24 min,12 hour 16 min,2024-11-23 00:01:00,1373.0,744,736.0,-1.0752688172043012,111.92934782608695,-0.005826656955571741,Faster
"Durham, North Carolina","Arlington, Texas","1,911 km",17 hour 21 min,17 hour 7 min,2024-11-23 00:01:00,1911.0,1041,1027.0,-1.344860710854947,111.64556962025316,-0.007326007326007326,Faster
"Durham, North Carolina","Tampa, Florida","1,087 km",9 hour 54 min,9 hour 46 min,2024-11-23 00:01:00,1087.0,594,586.0,-1.3468013468013467,111.29692832764505,-0.007359705611775529,Faster
"Durham, North Carolina","Tulsa, Oklahoma","1,833 km",16 hour 30 min,16 hour 18 min,2024-11-23 00:01:00,1833.0,990,978.0,-1.2121212121212122,112.45398773006134,-0.006546644844517185,Faster
"Durham, North Carolina","Minneapolis, Minnesota","1,926 km",17 hour 53 min,17 hour 36 min,2024-11-23 00:01:00,1926.0,1073,1056.0,-1.5843429636533086,109.43181818181817,-0.008826583592938734,Faster
"Durham, North Carolina","Oakland, California","4,533 km",1 day 17 hours,1 day 17 hours,2024-11-23 00:01:00,4533.0,2460,2460.0,0.0,110.5609756097561,0.0,Same
"Durham, North Carolina","Virginia Beach, Virginia",323 km,3 hour 20 min,3 hour 21 min,2024-11-23 00:01:00,323.0,200,201.0,0.5,96.41791044776119,0.0030959752321981426,Slower
"Durham, North Carolina","Long Beach, California","4,093 km",1 day 13 hours,1 day 12 hours,2024-11-23 00:01:00,4093.0,2220,2160.0,-2.7027027027027026,113.69444444444444,-0.014659174199853409,Faster
"Durham, North Carolina","Raleigh, North Carolina",40.5 km,33 min,31 min,2024-11-23 00:01:00,40.5,33,31.0,-6.0606060606060606,78.38709677419354,-0.04938271604938271,Faster
"Durham, North Carolina","Albuquerque, New Mexico","2,810 km",1 day 1 hour,1 day 1 hour,2024-11-23 00:01:00,2810.0,1500,1500.0,0.0,112.4,0.0,Same
"Durham, North Carolina","Colorado Springs, Colorado","2,623 km",1 day 0 hours,23 hour 40 min,2024-11-23 00:01:00,2623.0,1440,1420.0,-1.3888888888888888,110.83098591549295,-0.007624857033930614,Faster
"Durham, North Carolina","Kansas City, Missouri","1,681 km",15 hour 35 min,15 hour 25 min,2024-11-23 00:01:00,1681.0,935,925.0,-1.06951871657754,109.03783783783784,-0.00594883997620464,Faster
"Durham, North Carolina","Atlanta, Georgia",620 km,5 hour 49 min,5 hour 48 min,2024-11-23 00:01:00,620.0,349,348.0,-0.28653295128939826,106.89655172413794,-0.0016129032258064516,Faster
"Durham, North Carolina","Sacramento, California","4,454 km",1 day 16 hours,1 day 16 hours,2024-11-23 00:01:00,4454.0,2400,2400.0,0.0,111.35,0.0,Same
"Durham, North Carolina","Mesa, Arizona","3,459 km",1 day 7 hours,1 day 7 hours,2024-11-23 00:01:00,3459.0,1860,1860.0,0.0,111.58064516129032,0.0,Same
"Durham, North Carolina","Fresno, California","4,273 km",1 day 14 hours,,2024-11-23 00:01:00,4273.0,2280,,,,,Faster
"Durham, North Carolina","Tucson, Arizona","3,412 km",1 day 7 hours,1 day 6 hours,2024-11-23 00:01:00,3412.0,1860,1800.0,-3.225806451612903,113.73333333333333,-0.017584994138335287,Faster
